Id,Número de ferramentas,Custo total do setup,Total produzida 6 meses,Frequencia 6 meses
217yjmmvzqt,4,613,196,5
ygkxfwnnwt,5,804,271,9
n8mezlecydi,4,613,844,10
7lw38g95jxt,8,1157,3534,10
npv1rfcxolo,7,875,32,3
0xcw2ut62z6,4,626,551,4
preou6dtrjf,4,626,570,7
t4d4iu6h5ws,7,875,267,6
wtwd4n1hbl,4,613,236,5
tgwfjj92b9j,7,875,1191,19
rzva8ayrvss,4,613,470,13
0dwgjavl75xw,7,875,1,1
nyqkry3lx6,5,1205,1,1
mf8nt5p9ln,5,1205,1,1
u1bed76rfd,4,613,261,12
hsecxhog4lq,4,613,435,8
c65ov6f37i,4,626,3671,10
25iry2kz2f4,4,613,220,6
c5kn0x76sj5,8,1530,1010,7
nqaojdt9mf,7,1339,2046,16
ihbzmu8p8b,4,613,351,9
8zx1p1tksgp,4,613,63,4
xlsl1yv33z,4,613,1069,21
krt458fvnxe,4,613,3429,12
u7734c7wge,4,613,1761,11
vspd6eq9ono,4,613,124,4
zjc7swznoxh,8,1027,405,7
kmznykks8a,7,945,165,6
cabbl6gdbxh,4,613,892,9
6355wxklf52,4,613,2574,16
9inkx27bw7r,8,1075,519,4
yvveuvrtc7,4,613,1222,6
r2ootll0c1s,4,613,23,2
2p9beeg31um,4,613,1609,18
ucjgefjq2wj,8,1139,421,3
y3w6ouffqlq,8,1139,706,3
lga27ln06ef,4,613,437,5
gxbzoz7ht7l,6,1008,33,2
qx1k5i7cqy,8,1139,111,3
p3s4z3uusl,4,613,367,10
uki200jawoq,5,817,358,5
9a2ydbplhq,8,1139,166,4
n7jvec2asmi,4,626,77,6
a73hxiojd8l,4,613,129,7
y8asb7ouqb,5,817,62,3
uqz3z194wui,5,804,1822,4
9p6aomqu7wd,6,876,1,1
u4vh1q0okjj,5,817,123,6
h60b54mlo5m,4,626,110,2
lwd8mfoftke,4,626,16786,28
j9rldoebkgj,6,925,1,1
4nt7j9acw9,4,626,2391,12
8jgv5gbphyf,4,626,7763,13
vq0txa528j,4,626,3511,5
xtp6s59p3l,10,1497,1136,11
sb7xsj5vmf,10,1497,1,1
4agrf12hr82,10,1497,607,12
1qdcxvnjmf4h,10,1497,1,1
u1s3tpsqdrb,6,876,1,1
le3o4q8nveq,4,626,1259,3
hq86jzmt9qd,4,626,1582,8
fzxkrxebjb8,5,1205,1229,5
2pb4v1mpfum,6,925,907,4
8usg21998ml,8,1027,480,11
bc2v8io7maf,5,710,437,8
0kckqbsd24w,4,613,41056,62
pjelaogqv,4,613,916,10
k64c1fuaghn,4,613,173,5
1ybku12n0i8,4,613,256,5
vd1gmgg7a2d,6,858,95,6
jc2wjvzmx3,6,858,305,3
q6yjc26zuz,10,1497,1,1
t2r9h1e4gz,5,859,1703,9
rb8fringig9,10,1497,1338,9
zyjx2pp9sf,5,1205,1,1
3c7k5ax544g,5,1205,1,1
m3nlbna4ce,4,613,514,8
db3yhsra3rb,8,1139,1725,7
edw6jsj20v,8,1139,111,2
vmgevr9jbu,10,1497,1,1
oa3rc3kfcbj,4,626,2612,7
nomhomj1r4c,6,941,1451,10
w9bdwl8tqh,10,1497,109896,116
lp4jd1jzl6b,10,1497,24346,35
xis4asfjno,6,684,27,3
opb03eu1d2,6,876,209,3
xdmy7aff369,8,1027,71,2
s0refta82r9,4,626,137,4
5gv2yydnte,4,626,19543,30
23cgit2gfo1,4,626,56,3
kcuysbsfsv,4,626,33,2
9m88v2xlnt5,5,1205,753,6
38nanqf0idr,5,1205,417,5
pbjuf5rh09d,5,1205,117,4
j0jq1ulhhw,5,1205,120,3
5kffl6lpuhb,4,613,1004,11
nqo1ar12jki,4,613,74,6
ee4oy4l013i,8,1378,1012,11
c57ae2agg6u,4,626,64,3
pdjfg7q8wj,4,626,13387,30
o76qwf23g5,4,626,24169,40
nml8vb0lhqt,4,626,904,9
cx7dh7md4sv,4,613,1632,8
xxhnaeifkof,4,626,1,1
thfxmxgs5e,4,613,204,9
y93jf4cb,4,626,52096,78
0xa9vs6zkmz9,4,626,112249,113
u45zs8m5lbf,6,684,1,1
wyqqxwpi9q,8,1139,13,2
25zb0yh5xiy,4,613,1,1
e24pxjfvkaj,4,626,102,2
aihhvgcl8kd,4,613,122,6
k1e6t9msf2,6,941,31,4
997hd38dc4,7,875,53,3
wsl64nituw,8,1027,3,3
mxzylfhjv0i,4,613,242,5
znr7n90xizi,10,1321,3,3
iitg2uy9kw,8,1027,74,5
ir5lw2jobor,4,626,14852,25
2dt4g2x4snd,4,626,955,5
cwlbgvmo51s,4,613,86,4
3l6qatwro2c,7,1116,1,1
rqfjji9l1nl,7,1116,1,1
yki7yn5wbud,7,1082,1,1
49bmr44t84i,7,1116,55,2
3d61if58n7d,4,626,9717,16
dh5p8jj6ppq,8,1027,119,3
ru74uomfqc9,5,804,1571,8
y9o1o834rk,4,613,16,2
393zr54vy2i,8,1013,127,4
g5bs25ow2b,8,1027,21,2
j04ysu85vel,5,797,22,2
dnoe7ra5cyr,4,613,23,2
ph12ih89fia,6,858,12,2
jtdi12rzrf8,4,613,98,4
7f5vj37147e,5,1205,7,2
7ucj88hh32,4,613,1,1
vnim8omjeu8,5,804,4,2
zgywez7j71s,4,613,4,2
0vt447sma41,6,925,7,2
7xc6fso1ut9,4,613,4,2
0g0x9tudsqa,4,613,39,2
ibfh92vspw,5,817,266,3
s8m8h5j97r,5,817,4,2
wru9j8o8xws,6,928,34,2
ztns3vyww8,4,613,155,4
6othnma69d,4,613,83,3
bcm46n0r40d,6,1438,111,3
bylsnsumrxw,8,1378,61,3
g2okdbrtjxb,4,613,32,3
nho78rf5wcq,7,731,132,4
o7w6ytwg1z,7,731,6,2
4mzaiia61vr,7,731,9,3
4qgihzs1lmy,7,731,7,2
dra4ubtsihr,4,626,1,1
yo9sz7kfji,5,710,1,1
6yvunlrplry,10,1257,1,1
